purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,profit/loss
1959-07-15,1959-09-08,59.59,57.7,42292.0,130061.53,0.00141,0.01817,29.82,35410.88
1959-09-08,1960-01-11,57.7,58.77,6485.0,126565.31,0.0119,2e-05,38.59,-3890.68
1960-01-11,1960-01-29,58.77,55.61,156001.0,164049.09,0.00048,0.00603,37.44,43252.84
1960-01-29,1960-02-11,55.61,55.18,170665.0,213108.66,0.00057,0.00661,48.64,51492.19
1960-02-11,1960-06-10,55.18,57.97,19045.0,214188.14,0.00664,1e-05,63.23,-6376.65
1960-06-10,1960-09-15,57.97,55.22,64235.0,272924.17,0.00199,0.02297,63.91,67318.61
1960-09-15,1961-01-10,55.22,58.97,12959.0,278742.9,0.0125,0.0,80.99,-8180.37
1961-01-10,1961-04-24,58.97,64.4,138578.0,399830.95,0.0012,0.01483,83.15,94357.76
1961-04-24,1961-08-10,64.4,67.95,1250.0,404231.6,0.18996,2e-05,118.72,-11989.97
1961-08-10,1961-12-11,67.95,72.39,81544.0,417361.04,0.00296,0.0,120.69,-12189.2
1961-12-11,1961-12-19,72.39,71.26,41305521.0,526423.52,1e-05,6e-05,206.53,103057.27
1961-12-19,1962-01-05,71.26,70.84,15747363.0,930843.11,2e-05,0.00053,157.47,401400.29
1962-01-05,1962-05-01,70.84,65.94,1407109.0,1459065.18,0.00039,0.00887,274.39,596339.83
1962-05-01,1962-05-11,65.94,64.1,433447.0,1794282.41,0.00199,0.02021,431.28,394438.94
1962-05-11,1962-05-23,64.1,62.42,98754.0,2260459.04,0.01079,0.1162,532.78,519950.18
1962-05-23,1962-05-28,62.42,59.15,19849.0,3006219.07,0.06764,0.94227,671.29,867355.25
1962-05-28,1962-08-10,59.15,57.85,12570.0,2818967.01,0.14189,0.0184,891.78,-78505.24
1962-08-10,1962-12-10,57.85,63.35,5424.0,2996983.36,0.31019,0.01955,841.24,-79662.81
1962-12-10,1963-04-10,63.35,68.89,6291.0,3158395.5,0.28439,0.0,894.55,-90349.42
1963-04-10,1963-08-12,68.89,71.0,6566381.0,3155103.59,0.00029,0.0,952.13,-96164.65
1963-08-12,1963-11-22,71.0,72.17,7614780.0,4933213.15,0.00025,0.0047,951.85,1693336.7
1963-11-22,1964-03-10,72.17,78.9,133779.0,5145101.95,0.02186,0.0,1462.2,-147682.65
1964-03-10,1964-04-27,78.9,80.01,3.0159060223131016e+16,16589690.78,0.0,0.0,0.0,0.0
1964-04-27,1964-04-30,80.01,80.08,36942028239380.0,21880716.65,0.0,0.0,0.0,0.0
1964-04-30,1964-05-01,80.08,80.47,3483187817734.0,28458346.82,0.0,0.0,0.0,0.0
1964-05-01,1964-06-04,80.47,79.75,235758668513.0,101621208.33,0.0,1e-05,0.0,117879334.26
1964-06-04,1964-10-12,79.75,85.58,8687781770.0,102415970.24,1e-05,0.0,43438.91,-4387329.8
1964-10-12,1964-10-15,85.58,84.99,240473797249479.0,442288814.65,0.0,0.0,0.0,0.0
1964-10-15,1964-12-01,84.99,84.56,21516395082560.0,837934967.03,0.0,0.0,0.0,0.0
1964-12-01,1965-04-12,84.56,88.36,785756370958.0,831413267.65,0.0,0.0,0.0,0.0
1965-04-12,1965-05-27,88.36,88.36,126091892197085.0,1273758199.57,0.0,0.0,0.0,0.0
1965-05-27,1965-06-02,88.36,87.87,3544003740541.0,41807327631.03,0.0,0.00022,0.0,38984041145.95
1965-06-02,1965-06-11,87.87,85.68,150478421539.0,51348683321.43,0.00016,0.00175,12038273.72,11950996238.63
1965-06-11,1965-06-24,85.68,84.73,40912571159.0,66964207431.97,0.00075,0.00873,15342214.18,16308773678.26
1965-06-24,1965-10-11,84.73,91.84,6754387136.0,69632900812.18,0.00589,0.0,19891670.12,-2009058681.67
1965-10-11,1966-02-10,91.84,94.7,3504243044800120.0,69605456852.5,0.0,0.0,0.0,0.0
1966-02-10,1966-02-23,94.7,92.21,263273205596864.0,98854851684.74,0.0,0.0,0.0,0.0
1966-02-23,1966-03-01,92.21,91.65,310694738093277.0,241259326510.98,0.0,1e-05,0.0,155347369046.64
1966-03-01,1966-03-07,91.65,89.39,24555418554245.0,627417246493.65,1e-05,0.00032,122777092.77,380486210498.03
1966-03-07,1966-05-09,89.39,87.96,3267155947563.0,1415144145977.75,0.00011,0.00499,179693577.12,797006357628.25
1966-05-09,1966-08-18,87.96,81.38,157371328341.0,1755993654083.7,0.00531,0.06436,417820876.75,464221026050.05
1966-08-18,1966-08-29,81.38,76.24,77349754533.0,2476230529069.94,0.01347,0.22812,520950596.78,829635289928.64
1966-08-29,1966-12-12,76.24,83.54,22423930279.0,2590517921672.32,0.06546,2e-05,733935238.03,-74105035110.92
1966-12-12,1967-04-10,83.54,89.32,205942539410.0,2684793722947.87,0.00751,0.0,773314235.48,-78104737783.94
1967-04-10,1967-06-06,89.32,90.59,976013266175.0,3589488641067.04,0.00164,0.01909,800330878.26,850771243859.43
1967-06-06,1967-10-10,90.59,98.15,58667304443.0,3733503062253.54,0.03634,0.0,1065984921.73,-107664477094.66
1967-10-10,1967-10-16,98.15,96.55,203067999910255.0,5262303472642.41,1e-05,0.00016,1015339999.55,1521994659327.36
1967-10-16,1967-11-01,96.55,94.21,51657334122730.0,7252294025829.9,6e-05,0.00089,1549720023.68,2142229646069.62
1967-11-01,1967-11-21,94.21,93.71,17343538843163.0,9242918394803.5,0.00025,0.00264,2167942355.4,2070384949402.58
1967-11-21,1968-03-11,93.71,90.56,1893446020802.0,9582833609020.33,0.0029,0.01038,2745496730.16,705403315049.79
1968-03-11,1968-07-11,90.56,103.67,482408485475.0,10601774547370.4,0.01183,0.0,2853446191.58,-288198065350.04
1968-07-11,1968-07-25,103.67,100.07,2437724548843.0,13152820004125.07,0.0026,0.026,3169041913.5,2848968680232.81
1968-07-25,1968-11-12,100.07,105.28,924497206897.0,13300598208346.02,0.00845,0.0,3906000699.14,-394506070613.12
1968-11-12,1969-01-06,105.28,104.36,9323930358495368.0,40346409295149.12,0.0,6e-05,0.0,27971791075486.1
1969-01-06,1969-01-09,104.36,102.09,294942297933800.0,49770645673291.1,8e-05,0.00083,11797691917.35,11048538480600.15
1969-01-09,1969-05-12,102.09,105.65,107811941484565.0,49502254448099.01,0.00027,0.0,14554612100.42,-1470015822142.05
1969-05-12,1969-05-28,105.65,103.91,824149265454971.0,64564376130817.59,4e-05,0.00041,16482985309.1,15230278425607.86
1969-05-28,1969-06-11,103.91,100.71,226396768759726.0,80170093556215.67,0.00017,0.00174,19243725344.58,17752902622293.92
1969-06-11,1969-07-10,100.71,97.04,79709787500829.0,113267960597012.42,0.0006,0.0096,23912936250.25,35845491439122.8
1969-07-10,1969-07-28,97.04,91.91,20954499016661.0,163872686735475.2,0.00321,0.05725,33631970921.74,56585424372096.29
1969-07-28,1969-11-10,91.91,99.23,7243898562865.0,169091308154468.66,0.01341,0.0,48570339864.01,-4905604326264.99
1969-11-10,1969-11-21,99.23,95.34,587764013581815.0,219791245710876.6,0.00017,0.00208,49959941154.45,56081503355908.88
1969-11-21,1969-12-08,95.34,92.05,386020944839799.0,285041790186946.25,0.00034,0.00414,65623560622.77,73278355958939.03
1969-12-08,1970-01-26,92.05,89.23,129347082935344.0,358729345025701.75,0.00131,0.0142,84722339322.65,83279472612506.56
1970-01-26,1970-04-30,89.23,82.57,32346771164643.0,444379758566603.6,0.00659,0.07618,106582610987.5,112444007656387.81
1970-04-30,1970-05-14,82.57,76.64,14557178075677.0,575033983334122.8,0.01812,0.24187,131888033365.63,162726541688270.8
1970-05-14,1970-05-27,76.64,73.22,4782941368862.0,727710192097941.1,0.07134,0.82785,170607518627.31,180746541229262.25
1970-05-27,1970-08-10,73.22,77.4,2606329572963.0,737190952637983.2,0.16578,0.00026,216038658302.9,-21786022204144.69
1970-08-10,1970-12-10,77.4,90.87,3030951541090.0,838929838256922.9,0.1452,0.0,220047081883.13,-22224755270196.53
1970-12-10,1971-04-12,90.87,103.54,102385744916224.0,926640363762383.5,0.00489,0.0,250333146320.17,-25283647778336.94
1971-04-12,1971-07-13,103.54,101.06,1081042966412884.0,1189046245989204.2,0.00051,0.00566,275665956435.29,278092897894882.38
1971-07-13,1971-08-17,101.06,101.0,117931751423544.0,1517009286859916.5,0.00599,0.06243,353205595513.51,332450196921727.7
1971-08-17,1971-12-10,101.0,97.69,12157669293518.0,1459100746399591.0,0.07413,0.07869,450624012364.24,2321324586557.86
1971-12-10,1972-04-10,97.69,110.54,9527143239611.0,1600326119796930.2,0.09137,0.0,435247538901.63,-43960001429064.48
1972-04-10,1972-05-04,110.54,106.81,6263955998711566.0,2019729544346331.5,0.00015,0.00163,469796699903.37,463062947204752.5
1972-05-04,1972-09-11,106.81,110.57,4533674648178088.0,2009599934684778.2,0.00026,0.0,589377704263.15,-59527148130578.29
1972-09-11,1973-01-10,110.57,120.44,2460052734310568.0,2122198946697926.8,0.00049,0.0,602712919906.09,-60874004910515.01
1973-01-10,1973-01-26,120.44,117.29,1.0668142089773016e+16,2846172172245079.5,0.00012,0.00155,640088525386.38,762132070893384.4
1973-01-26,1973-02-14,117.29,116.92,4010087720029309.0,4455692028397133.0,0.00042,0.00847,842118421206.15,1613218188890590.8
1973-02-14,1973-03-22,116.92,110.39,268425104989247.0,5450695350903231.0,0.00983,0.10416,1319309391022.15,1264707698290761.2
1973-03-22,1973-05-21,110.39,103.77,108957528259556.0,6735263168979336.0,0.02971,0.32595,1618564082295.7,1612260344498247.8
1973-05-21,1973-09-10,103.77,105.12,26717168532267.0,6554675885265914.0,0.14971,0.00114,1999913650482.85,-200468400092428.25
1973-09-10,1973-11-19,105.12,103.65,544397882061524.0,9705274882292706.0,0.00719,0.1239,1957110386011.18,3174876730384012.0
1973-11-19,1973-12-12,103.65,95.52,44436988294303.0,1.1937619575451828e+16,0.12948,1.48958,2876850622173.18,3019060538331902.5
1973-12-12,1974-03-11,95.52,99.4,27507381179671.0,1.1920697658069716e+16,0.25765,0.00054,3543638380471.12,-357164777135731.7
1974-03-11,1974-07-09,99.4,82.5,44177639814176.0,1.3327905057260708e+16,0.16109,1.65893,3558287998832.81,3304993512964436.0
1974-07-09,1974-08-29,82.5,71.22,46881568090852.0,1.5074651005791408e+16,0.16879,1.69049,3956569939027.45,3563027538253446.5
1974-08-29,1974-11-11,71.22,75.7,62224872483106.0,1.5677408155842362e+16,0.14387,0.10053,4476146202072.23,-139317444872962.95
1974-11-11,1975-02-10,75.7,79.4,12663621503529.0,1.5941080430176908e+16,0.73878,0.0021,4677815147188.58,-471129649608175.75
1975-02-10,1975-06-10,79.4,91.21,26057720780998.0,1.7751520043544684e+16,0.36522,0.00092,4758400391818.04,-479399784417696.75
1975-06-10,1975-10-10,91.21,89.17,92466449204079.0,1.8067634063663772e+16,0.11461,0.26415,5298789871639.75,686072850827259.0
1975-10-10,1976-02-10,89.17,100.96,30819816993552.0,1.97992984787223e+16,0.34951,0.00015,5385917118708.18,-543746480362074.5
1976-02-10,1976-06-10,100.96,99.98,245932397611629.0,1.9030114470792788e+16,0.04806,0.00183,5909755514607.44,-574382492593888.0
1976-06-10,1976-10-12,99.98,102.19,2331584167059804.0,1.90068617881824e+16,0.00487,0.00127,5677407446790.62,-425362557517555.25
1976-10-12,1977-02-10,102.19,101.51,852721285076532.0,1.8312546825943012e+16,0.0133,0.00023,5670596545758.94,-562923956343272.6
1977-02-10,1977-05-27,101.51,97.26,1.0950092392660546e+16,2.260225483786928e+16,0.001,0.01002,5475046196330.27,4933016622893576.0
1977-05-27,1977-09-12,97.26,96.64,2514866899207565.0,2.161507347423695e+16,0.00534,0.00025,6714694620884.2,-646748320469209.5
1977-09-12,1977-11-30,96.64,95.17,1.2323837308246698e+16,2.810801125053788e+16,0.00105,0.01189,6470014586829.52,6673049806482879.0
1977-11-30,1978-03-10,95.17,89.25,1298559629324195.0,2.5539167571854092e+16,0.01286,0.00345,8349738416554.57,-619322044013588.4
1978-03-10,1978-07-10,89.25,95.67,2.2871963431226116e+16,2.6601714981938884e+16,0.00067,5e-05,7662107749460.75,-716692974117470.4
1978-07-10,1978-11-01,95.67,97.41,3026089387913688.0,3.463406464890212e+16,0.00525,0.05429,7943484643273.43,7412027694521089.0
1978-11-01,1979-03-12,97.41,100.04,154537409106148.0,3.4191279660210704e+16,0.13316,0.00012,10289100698287.33,-1038271946072383.9
1979-03-12,1979-07-10,100.04,105.17,7003811493663667.0,3.484649302011837e+16,0.00291,0.0,10190545723280.64,-1029245118051344.1
1979-07-10,1979-10-10,105.17,106.23,5.744355141406864e+16,6.162550230843363e+16,0.00036,0.00939,10339839254532.36,2.5925423624197464e+16
1979-10-10,1980-02-11,106.23,119.05,1667358776355775.0,6.58874500020153e+16,0.02187,5e-05,18232568219450.4,-1837320993223601.0
1980-02-11,1980-03-06,119.05,111.29,3774178089087473.0,8.046183900061642e+16,0.01042,0.1078,19663467844145.74,1.8356809647922764e+16
1980-03-06,1980-03-24,111.29,102.18,1571291734758292.0,1.0482134106033082e+17,0.03042,0.42196,23899347285673.62,3.073727894407741e+16
1980-03-24,1980-07-10,102.18,118.57,485974365008681.0,1.1656902830817141e+17,0.12795,3e-05,31090210001430.36,-3139382248596954.0
1980-07-10,1980-11-10,118.57,130.51,2891753533928529.0,1.2585154069695757e+17,0.02407,0.00986,34802253780829.85,-2089393139637049.5
1980-11-10,1981-03-10,130.51,132.64,510147076727926.0,1.2407058444856874e+17,0.14724,0.0026,37557027788709.92,-3726940686685070.5
1981-03-10,1981-07-10,132.64,130.42999,7528765494285253.0,1.1845431255328354e+17,0.00984,0.00044,37041526231883.44,-3575561308545952.5
1981-07-10,1981-08-24,130.42999,128.59,1.3465996371746024e+17,1.535493080279742e+17,0.00053,0.00587,35684890385126.96,3.5918525422176756e+16
1981-08-24,1981-09-08,128.59,120.12,2.0617502900841676e+16,1.856409080837911e+17,0.00442,0.04539,45564681410860.11,4.218939001096331e+16
1981-09-08,1982-01-11,120.12,120.34,1.144966380744168e+16,1.8220581365904502e+17,0.00963,0.00581,55130131232831.69,-2242015918454192.2
1982-01-11,1982-02-23,120.34,112.46,8367408009737871.0,2.3538843940889056e+17,0.013,0.16478,54388152063296.16,6.344587123383741e+16
1982-02-23,1982-06-10,112.46,109.7,2753898924871355.0,2.205393755809724e+17,0.05073,0.00124,69852646229361.91,-6884375535823530.0
1982-06-10,1982-08-04,109.7,107.83,1.191067464385442e+17,3.2175512868307725e+17,0.00111,0.01837,66104244273392.03,1.0272301793219026e+17
